T1;evolutionModels/PPU/PPUv1_ctwedge_enum.ctw;3;94.0;evolutionModels/PPU/PPUv2_ctwedge_enum.ctw;6;51.0;21.0;1.0;1;38.88889;0;
T1Reduced;evolutionModels/PPU/PPUv1_ctwedge_enum.ctw;3;101.0;evolutionModels/PPU/PPUv2_ctwedge_enum.ctw;6;53.0;21.0;1.0;1;38.88889;0;
T2;evolutionModels/PPU/PPUv1_ctwedge_enum.ctw;3;101.0;evolutionModels/PPU/PPUv2_ctwedge_enum.ctw;6;52.0;21.0;1.0;1;38.88889;0;
T2Reduced;evolutionModels/PPU/PPUv1_ctwedge_enum.ctw;3;101.0;evolutionModels/PPU/PPUv2_ctwedge_enum.ctw;6;54.0;21.0;1.0;1;38.88889;0;
T1;evolutionModels/PPU/PPUv2_ctwedge_enum.ctw;6;42.0;evolutionModels/PPU/PPUv3_ctwedge_enum.ctw;7;41.0;26.0;1.0;1;28.260868;0;
T1Reduced;evolutionModels/PPU/PPUv2_ctwedge_enum.ctw;6;43.0;evolutionModels/PPU/PPUv3_ctwedge_enum.ctw;7;43.0;26.0;1.0;1;28.260868;0;
T2;evolutionModels/PPU/PPUv2_ctwedge_enum.ctw;6;43.0;evolutionModels/PPU/PPUv3_ctwedge_enum.ctw;7;37.0;26.0;1.0;1;28.260868;0;
T2Reduced;evolutionModels/PPU/PPUv2_ctwedge_enum.ctw;6;43.0;evolutionModels/PPU/PPUv3_ctwedge_enum.ctw;7;39.0;26.0;1.0;1;28.260868;0;
T1;evolutionModels/PPU/PPUv3_ctwedge_enum.ctw;7;31.0;evolutionModels/PPU/PPUv4_ctwedge_enum.ctw;10;40.0;44.0;1.0;1;28.20513;0;
T1Reduced;evolutionModels/PPU/PPUv3_ctwedge_enum.ctw;7;32.0;evolutionModels/PPU/PPUv4_ctwedge_enum.ctw;9;43.0;34.0;1.0;1;23.287672;0;
T2;evolutionModels/PPU/PPUv3_ctwedge_enum.ctw;7;32.0;evolutionModels/PPU/PPUv4_ctwedge_enum.ctw;9;33.0;34.0;1.0;1;23.287672;0;
T2Reduced;evolutionModels/PPU/PPUv3_ctwedge_enum.ctw;7;32.0;evolutionModels/PPU/PPUv4_ctwedge_enum.ctw;8;35.0;26.0;1.0;1;19.117647;0;
T1;evolutionModels/PPU/PPUv4_ctwedge_enum.ctw;10;32.0;evolutionModels/PPU/PPUv5_ctwedge_enum.ctw;12;40.0;53.0;1.0;1;21.721312;0;
T1Reduced;evolutionModels/PPU/PPUv4_ctwedge_enum.ctw;9;35.0;evolutionModels/PPU/PPUv5_ctwedge_enum.ctw;11;44.0;47.0;1.0;1;21.171171;0;
T2;evolutionModels/PPU/PPUv4_ctwedge_enum.ctw;9;35.0;evolutionModels/PPU/PPUv5_ctwedge_enum.ctw;14;38.0;81.0;1.0;1;31.39535;0;
T2Reduced;evolutionModels/PPU/PPUv4_ctwedge_enum.ctw;9;35.0;evolutionModels/PPU/PPUv5_ctwedge_enum.ctw;11;43.0;48.0;1.0;1;21.621622;0;
T1;evolutionModels/PPU/PPUv5_ctwedge_enum.ctw;12;34.0;evolutionModels/PPU/PPUv6_ctwedge_enum.ctw;12;38.0;14.0;1.0;1;5.0724635;0;
T1Reduced;evolutionModels/PPU/PPUv5_ctwedge_enum.ctw;11;37.0;evolutionModels/PPU/PPUv6_ctwedge_enum.ctw;11;42.0;13.0;1.0;1;5.13834;0;
T2;evolutionModels/PPU/PPUv5_ctwedge_enum.ctw;11;37.0;evolutionModels/PPU/PPUv6_ctwedge_enum.ctw;11;30.0;11.0;1.0;1;4.347826;0;
T2Reduced;evolutionModels/PPU/PPUv5_ctwedge_enum.ctw;11;37.0;evolutionModels/PPU/PPUv6_ctwedge_enum.ctw;11;34.0;11.0;1.0;1;4.347826;0;
