OldFM;NewFM;Generator;Size;Time;NSpecificTests;NNotSpecificTests;Specificity;FaultDetection
PPUv3.xml;PPUv5.xml;MUTTESTGENERATOR;5;54.0;0;5;0.0;0.9067164
PPUv3.xml;PPUv5.xml;BDD_FMREDUCED;12;50.0;0;12;0.0;0.9070632
PPUv3.xml;PPUv6.xml;SPECIFICITY_FMREDUCED;12;37.0;0;12;0.0;0.90495867
PPUv3.xml;PPUv6.xml;ACTS;12;209.0;0;12;0.0;0.90495867
PPUv3.xml;PPUv6.xml;MUTTESTGENERATOR;4;44.0;0;4;0.0;0.90495867
PPUv3.xml;PPUv6.xml;BDD_FMREDUCED;12;36.0;0;12;0.0;0.90495867
PPUv3.xml;PPUv7.xml;SPECIFICITY_FMREDUCED;17;55.0;12;5;0.7058824;0.9194139
PPUv3.xml;PPUv7.xml;ACTS;12;211.0;5;7;0.41666666;0.9194139
PPUv3.xml;PPUv7.xml;MUTTESTGENERATOR;6;58.0;4;2;0.6666667;0.9194139
PPUv3.xml;PPUv7.xml;BDD_FMREDUCED;16;50.0;11;5;0.6875;0.9194139
PPUv3.xml;PPUv8.xml;SPECIFICITY_FMREDUCED;16;44.0;12;4;0.75;0.9130435
PPUv3.xml;PPUv8.xml;ACTS;12;263.0;7;5;0.5833333;0.9130435
PPUv3.xml;PPUv8.xml;MUTTESTGENERATOR;4;49.0;4;0;1.0;0.9133574
PPUv3.xml;PPUv8.xml;BDD_FMREDUCED;15;44.0;11;4;0.73333335;0.9133574
PPUv4.xml;PPUv2.xml;SPECIFICITY_FMREDUCED;6;13.0;3;3;0.5;0.7181818
PPUv4.xml;PPUv2.xml;ACTS;6;67.0;3;3;0.5;0.7181818
PPUv4.xml;PPUv2.xml;MUTTESTGENERATOR;4;12.0;1;3;0.25;0.7181818
PPUv4.xml;PPUv2.xml;BDD_FMREDUCED;6;11.0;3;3;0.5;0.7181818
PPUv4.xml;PPUv3.xml;SPECIFICITY_FMREDUCED;9;9.0;6;3;0.6666667;0.7
PPUv4.xml;PPUv3.xml;ACTS;7;57.0;4;3;0.5714286;0.7
PPUv4.xml;PPUv3.xml;MUTTESTGENERATOR;7;12.0;3;4;0.42857143;0.7
PPUv4.xml;PPUv3.xml;BDD_FMREDUCED;7;9.0;4;3;0.5714286;0.7
PPUv4.xml;PPUv5.xml;SPECIFICITY_FMREDUCED;12;40.0;0;12;0.0;0.9070632
PPUv4.xml;PPUv5.xml;ACTS;12;224.0;0;12;0.0;0.9067164
PPUv4.xml;PPUv5.xml;MUTTESTGENERATOR;5;43.0;0;5;0.0;0.9067164
PPUv4.xml;PPUv5.xml;BDD_FMREDUCED;12;48.0;0;12;0.0;0.9067164
PPUv4.xml;PPUv6.xml;SPECIFICITY_FMREDUCED;12;47.0;0;12;0.0;0.90495867
PPUv4.xml;PPUv6.xml;ACTS;12;201.0;0;12;0.0;0.90495867
PPUv4.xml;PPUv6.xml;MUTTESTGENERATOR;4;52.0;0;4;0.0;0.90495867
PPUv4.xml;PPUv6.xml;BDD_FMREDUCED;12;39.0;0;12;0.0;0.90495867
PPUv4.xml;PPUv7.xml;SPECIFICITY_FMREDUCED;17;47.0;12;5;0.7058824;0.919708
PPUv4.xml;PPUv7.xml;ACTS;12;215.0;5;7;0.41666666;0.9194139
PPUv4.xml;PPUv7.xml;MUTTESTGENERATOR;6;47.0;4;2;0.6666667;0.9194139
PPUv4.xml;PPUv7.xml;BDD_FMREDUCED;16;41.0;11;5;0.6875;0.9194139
PPUv4.xml;PPUv8.xml;SPECIFICITY_FMREDUCED;16;52.0;12;4;0.75;0.9133574
PPUv4.xml;PPUv8.xml;ACTS;12;209.0;7;5;0.5833333;0.9130435
PPUv4.xml;PPUv8.xml;MUTTESTGENERATOR;4;50.0;4;0;1.0;0.9133574
PPUv4.xml;PPUv8.xml;BDD_FMREDUCED;15;51.0;11;4;0.73333335;0.9133574
PPUv5.xml;PPUv2.xml;SPECIFICITY_FMREDUCED;6;12.0;6;0;1.0;0.7181818
PPUv5.xml;PPUv2.xml;ACTS;6;73.0;6;0;1.0;0.7181818
PPUv5.xml;PPUv2.xml;MUTTESTGENERATOR;4;17.0;4;0;1.0;0.7181818
PPUv5.xml;PPUv2.xml;BDD_FMREDUCED;6;13.0;6;0;1.0;0.7181818
PPUv5.xml;PPUv3.xml;SPECIFICITY_FMREDUCED;7;16.0;7;0;1.0;0.7
PPUv5.xml;PPUv3.xml;ACTS;7;65.0;7;0;1.0;0.7
PPUv5.xml;PPUv3.xml;MUTTESTGENERATOR;7;11.0;7;0;1.0;0.7
PPUv5.xml;PPUv3.xml;BDD_FMREDUCED;7;13.0;7;0;1.0;0.7
PPUv5.xml;PPUv4.xml;SPECIFICITY_FMREDUCED;9;19.0;9;0;1.0;0.75974023
PPUv5.xml;PPUv4.xml;ACTS;9;102.0;9;0;1.0;0.75974023
PPUv5.xml;PPUv4.xml;MUTTESTGENERATOR;10;17.0;10;0;1.0;0.75974023
PPUv5.xml;PPUv4.xml;BDD_FMREDUCED;9;20.0;9;0;1.0;0.75974023
PPUv5.xml;PPUv6.xml;SPECIFICITY_FMREDUCED;12;39.0;12;0;1.0;0.90495867
PPUv5.xml;PPUv6.xml;ACTS;12;211.0;12;0;1.0;0.90495867
PPUv5.xml;PPUv6.xml;MUTTESTGENERATOR;4;39.0;4;0;1.0;0.90495867
PPUv5.xml;PPUv6.xml;BDD_FMREDUCED;12;37.0;12;0;1.0;0.90495867
PPUv5.xml;PPUv7.xml;SPECIFICITY_FMREDUCED;16;42.0;16;0;1.0;0.919708
PPUv5.xml;PPUv7.xml;ACTS;12;191.0;12;0;1.0;0.9194139
PPUv5.xml;PPUv7.xml;MUTTESTGENERATOR;6;44.0;6;0;1.0;0.919708
PPUv5.xml;PPUv7.xml;BDD_FMREDUCED;16;39.0;16;0;1.0;0.9194139
PPUv5.xml;PPUv8.xml;SPECIFICITY_FMREDUCED;15;45.0;15;0;1.0;0.9130435
PPUv5.xml;PPUv8.xml;ACTS;12;221.0;12;0;1.0;0.91366905
PPUv5.xml;PPUv8.xml;MUTTESTGENERATOR;4;77.0;4;0;1.0;0.9130435
PPUv5.xml;PPUv8.xml;BDD_FMREDUCED;15;49.0;15;0;1.0;0.9130435
PPUv6.xml;PPUv2.xml;SPECIFICITY_FMREDUCED;6;21.0;3;3;0.5;0.7181818
PPUv6.xml;PPUv2.xml;ACTS;6;77.0;3;3;0.5;0.7181818
PPUv6.xml;PPUv2.xml;MUTTESTGENERATOR;4;23.0;1;3;0.25;0.7181818
PPUv6.xml;PPUv2.xml;BDD_FMREDUCED;6;21.0;3;3;0.5;0.7181818
PPUv6.xml;PPUv3.xml;SPECIFICITY_FMREDUCED;9;20.0;6;3;0.6666667;0.7
PPUv6.xml;PPUv3.xml;ACTS;7;91.0;4;3;0.5714286;0.7
PPUv6.xml;PPUv3.xml;MUTTESTGENERATOR;7;25.0;3;4;0.42857143;0.7
PPUv6.xml;PPUv3.xml;BDD_FMREDUCED;7;17.0;4;3;0.5714286;0.7
PPUv6.xml;PPUv4.xml;SPECIFICITY_FMREDUCED;11;28.0;7;4;0.6363636;0.75974023
PPUv6.xml;PPUv4.xml;ACTS;9;125.0;4;5;0.44444445;0.75974023
PPUv6.xml;PPUv4.xml;MUTTESTGENERATOR;10;29.0;3;7;0.3;0.75974023
PPUv6.xml;PPUv4.xml;BDD_FMREDUCED;9;27.0;4;5;0.44444445;0.75974023
PPUv6.xml;PPUv5.xml;SPECIFICITY_FMREDUCED;12;51.0;0;12;0.0;0.9067164
PPUv6.xml;PPUv5.xml;ACTS;12;340.0;0;12;0.0;0.9067164
PPUv6.xml;PPUv5.xml;MUTTESTGENERATOR;5;83.0;0;5;0.0;0.9067164
PPUv6.xml;PPUv5.xml;BDD_FMREDUCED;12;73.0;0;12;0.0;0.9067164
PPUv6.xml;PPUv7.xml;SPECIFICITY_FMREDUCED;17;93.0;12;5;0.7058824;0.9194139
PPUv6.xml;PPUv7.xml;ACTS;12;319.0;5;7;0.41666666;0.9194139
PPUv6.xml;PPUv7.xml;MUTTESTGENERATOR;6;70.0;4;2;0.6666667;0.9194139
PPUv6.xml;PPUv7.xml;BDD_FMREDUCED;16;53.0;11;5;0.6875;0.919708
PPUv6.xml;PPUv8.xml;SPECIFICITY_FMREDUCED;16;67.0;12;4;0.75;0.9130435
PPUv6.xml;PPUv8.xml;ACTS;12;248.0;7;5;0.5833333;0.9130435
PPUv6.xml;PPUv8.xml;MUTTESTGENERATOR;4;77.0;4;0;1.0;0.9130435
PPUv6.xml;PPUv8.xml;BDD_FMREDUCED;15;47.0;11;4;0.73333335;0.9130435
PPUv7.xml;PPUv2.xml;SPECIFICITY_FMREDUCED;6;15.0;3;3;0.5;0.7181818
PPUv7.xml;PPUv2.xml;ACTS;6;57.0;3;3;0.5;0.7181818
PPUv7.xml;PPUv2.xml;MUTTESTGENERATOR;4;15.0;1;3;0.25;0.7181818
PPUv7.xml;PPUv2.xml;BDD_FMREDUCED;6;11.0;3;3;0.5;0.7181818
PPUv7.xml;PPUv3.xml;SPECIFICITY_FMREDUCED;9;16.0;6;3;0.6666667;0.7
PPUv7.xml;PPUv3.xml;ACTS;7;56.0;4;3;0.5714286;0.7
PPUv7.xml;PPUv3.xml;MUTTESTGENERATOR;7;12.0;3;4;0.42857143;0.7
PPUv7.xml;PPUv3.xml;BDD_FMREDUCED;7;11.0;4;3;0.5714286;0.7
PPUv7.xml;PPUv4.xml;SPECIFICITY_FMREDUCED;11;24.0;7;4;0.6363636;0.75974023
PPUv7.xml;PPUv4.xml;ACTS;9;99.0;4;5;0.44444445;0.75974023
PPUv7.xml;PPUv4.xml;MUTTESTGENERATOR;10;22.0;3;7;0.3;0.75974023
PPUv7.xml;PPUv4.xml;BDD_FMREDUCED;9;16.0;4;5;0.44444445;0.75974023
PPUv7.xml;PPUv5.xml;SPECIFICITY_FMREDUCED;12;57.0;0;12;0.0;0.9067164
PPUv7.xml;PPUv5.xml;ACTS;12;246.0;0;12;0.0;0.9067164
PPUv7.xml;PPUv5.xml;MUTTESTGENERATOR;5;56.0;0;5;0.0;0.9067164
PPUv7.xml;PPUv5.xml;BDD_FMREDUCED;12;45.0;0;12;0.0;0.9067164
PPUv7.xml;PPUv6.xml;SPECIFICITY_FMREDUCED;12;44.0;0;12;0.0;0.90495867
PPUv7.xml;PPUv6.xml;ACTS;12;216.0;0;12;0.0;0.90495867
PPUv7.xml;PPUv6.xml;MUTTESTGENERATOR;4;53.0;0;4;0.0;0.90495867
PPUv7.xml;PPUv6.xml;BDD_FMREDUCED;12;40.0;0;12;0.0;0.90495867
PPUv7.xml;PPUv8.xml;SPECIFICITY_FMREDUCED;15;46.0;0;15;0.0;0.9130435
PPUv7.xml;PPUv8.xml;ACTS;12;242.0;0;12;0.0;0.91366905
PPUv7.xml;PPUv8.xml;MUTTESTGENERATOR;4;50.0;0;4;0.0;0.9133574
PPUv7.xml;PPUv8.xml;BDD_FMREDUCED;15;48.0;0;15;0.0;0.9130435
PPUv8.xml;PPUv2.xml;SPECIFICITY_FMREDUCED;6;11.0;3;3;0.5;0.7181818
PPUv8.xml;PPUv2.xml;ACTS;6;49.0;3;3;0.5;0.7181818
PPUv8.xml;PPUv2.xml;MUTTESTGENERATOR;4;12.0;1;3;0.25;0.7181818
PPUv8.xml;PPUv2.xml;BDD_FMREDUCED;6;12.0;3;3;0.5;0.7181818
PPUv8.xml;PPUv3.xml;SPECIFICITY_FMREDUCED;9;11.0;6;3;0.6666667;0.7
PPUv8.xml;PPUv3.xml;ACTS;7;53.0;4;3;0.5714286;0.7
PPUv8.xml;PPUv3.xml;MUTTESTGENERATOR;7;15.0;3;4;0.42857143;0.7
PPUv8.xml;PPUv3.xml;BDD_FMREDUCED;7;11.0;4;3;0.5714286;0.7
PPUv8.xml;PPUv4.xml;SPECIFICITY_FMREDUCED;11;18.0;7;4;0.6363636;0.75974023
PPUv8.xml;PPUv4.xml;ACTS;9;90.0;4;5;0.44444445;0.75974023
PPUv8.xml;PPUv4.xml;MUTTESTGENERATOR;10;16.0;3;7;0.3;0.75974023
PPUv8.xml;PPUv4.xml;BDD_FMREDUCED;9;15.0;4;5;0.44444445;0.75974023
PPUv8.xml;PPUv5.xml;SPECIFICITY_FMREDUCED;12;40.0;0;12;0.0;0.9067164
PPUv8.xml;PPUv5.xml;ACTS;12;241.0;0;12;0.0;0.9067164
PPUv8.xml;PPUv5.xml;MUTTESTGENERATOR;5;44.0;0;5;0.0;0.9067164
PPUv8.xml;PPUv5.xml;BDD_FMREDUCED;12;42.0;0;12;0.0;0.9067164
PPUv8.xml;PPUv6.xml;SPECIFICITY_FMREDUCED;12;50.0;0;12;0.0;0.90495867
PPUv8.xml;PPUv6.xml;ACTS;12;314.0;0;12;0.0;0.90495867
PPUv8.xml;PPUv6.xml;MUTTESTGENERATOR;4;102.0;0;4;0.0;0.90495867
