OldFM;NewFM;Generator;Size;Time;NSpecificTests;NNotSpecificTests;Specificity;FaultDetection;CombinatorialCoverage
PPUv2.xml;PPUv6.xml;SPECIFICITY_FMREDUCED;13;37.0;7;6;0.53846157;0.90495867;1.0
PPUv2.xml;PPUv6.xml;ACTS;12;166.0;4;8;0.33333334;0.90495867;1.0
PPUv2.xml;PPUv6.xml;MUTTESTGENERATOR;4;32.0;2;2;0.5;0.90495867;0.42916667
PPUv2.xml;PPUv6.xml;BDD_FMREDUCED;11;56.0;4;7;0.36363637;0.90495867;1.0
PPUv2.xml;PPUv6.xml;INCLING;13;13.0;6;7;0.46153846;0.90495867;1.0
PPUv2.xml;PPUv6.xml;GFE;11;8.0;5;6;0.45454547;0.90495867;1.0
PPUv2.xml;PPUv7.xml;SPECIFICITY_FMREDUCED;15;45.0;13;2;0.8666667;0.9194139;1.0
PPUv2.xml;PPUv7.xml;ACTS;12;178.0;7;5;0.5833333;0.9194139;1.0
PPUv2.xml;PPUv7.xml;MUTTESTGENERATOR;6;47.0;4;2;0.6666667;0.9194139;0.44852942
PPUv2.xml;PPUv7.xml;BDD_FMREDUCED;14;69.0;12;2;0.85714287;0.9194139;1.0
PPUv2.xml;PPUv7.xml;INCLING;13;13.0;10;3;0.7692308;0.919708;1.0
PPUv2.xml;PPUv7.xml;GFE;13;12.0;7;6;0.53846157;0.9194139;1.0
PPUv2.xml;PPUv8.xml;SPECIFICITY_FMREDUCED;15;50.0;13;2;0.8666667;0.9130435;1.0
PPUv2.xml;PPUv8.xml;ACTS;12;211.0;9;3;0.75;0.9130435;1.0
PPUv2.xml;PPUv8.xml;MUTTESTGENERATOR;4;55.0;4;0;1.0;0.9130435;0.41911766
PPUv2.xml;PPUv8.xml;BDD_FMREDUCED;12;96.0;10;2;0.8333333;0.9130435;1.0
PPUv2.xml;PPUv8.xml;INCLING;12;14.0;9;3;0.75;0.9130435;1.0
PPUv2.xml;PPUv8.xml;GFE;12;10.0;7;5;0.5833333;0.9130435;1.0
PPUv3.xml;PPUv2.xml;SPECIFICITY_FMREDUCED;6;9.0;0;6;0.0;0.7181818;1.0
PPUv3.xml;PPUv2.xml;ACTS;6;76.0;0;6;0.0;0.7181818;1.0
PPUv3.xml;PPUv2.xml;MUTTESTGENERATOR;4;9.0;0;4;0.0;0.7181818;0.51363635
PPUv3.xml;PPUv2.xml;BDD_FMREDUCED;6;17.0;0;6;0.0;0.7181818;1.0
PPUv3.xml;PPUv2.xml;INCLING;6;7.0;0;6;0.0;0.7181818;1.0
PPUv3.xml;PPUv2.xml;GFE;6;3.0;0;6;0.0;0.7181818;1.0
PPUv3.xml;PPUv4.xml;SPECIFICITY_FMREDUCED;9;19.0;0;9;0.0;0.75974023;1.0
PPUv3.xml;PPUv4.xml;ACTS;9;103.0;0;9;0.0;0.75974023;1.0
PPUv3.xml;PPUv4.xml;MUTTESTGENERATOR;10;21.0;0;10;0.0;0.75974023;0.55448717
PPUv3.xml;PPUv4.xml;BDD_FMREDUCED;8;27.0;0;8;0.0;0.75974023;1.0
PPUv3.xml;PPUv4.xml;INCLING;9;12.0;0;9;0.0;0.75974023;1.0
PPUv3.xml;PPUv4.xml;GFE;8;6.0;0;8;0.0;0.75974023;1.0
PPUv3.xml;PPUv5.xml;SPECIFICITY_FMREDUCED;11;55.0;0;11;0.0;0.9067164;1.0
PPUv3.xml;PPUv5.xml;ACTS;12;186.0;0;12;0.0;0.9070632;1.0
PPUv3.xml;PPUv5.xml;MUTTESTGENERATOR;5;55.0;0;5;0.0;0.9067164;0.43014705
PPUv3.xml;PPUv5.xml;BDD_FMREDUCED;11;67.0;0;11;0.0;0.9070632;1.0
PPUv3.xml;PPUv5.xml;INCLING;13;12.0;0;13;0.0;0.9070632;1.0
PPUv3.xml;PPUv5.xml;GFE;11;8.0;0;11;0.0;0.9067164;1.0
PPUv3.xml;PPUv6.xml;SPECIFICITY_FMREDUCED;11;40.0;0;11;0.0;0.90495867;1.0
PPUv3.xml;PPUv6.xml;ACTS;12;225.0;0;12;0.0;0.90495867;1.0
PPUv3.xml;PPUv6.xml;MUTTESTGENERATOR;4;44.0;0;4;0.0;0.90495867;0.42916667
PPUv3.xml;PPUv6.xml;BDD_FMREDUCED;11;60.0;0;11;0.0;0.90495867;1.0
PPUv3.xml;PPUv6.xml;INCLING;13;13.0;0;13;0.0;0.90495867;1.0
PPUv3.xml;PPUv6.xml;GFE;11;9.0;0;11;0.0;0.90495867;1.0
PPUv3.xml;PPUv7.xml;SPECIFICITY_FMREDUCED;14;46.0;9;5;0.64285713;0.9194139;1.0
PPUv3.xml;PPUv7.xml;ACTS;12;197.0;5;7;0.41666666;0.919708;1.0
PPUv3.xml;PPUv7.xml;MUTTESTGENERATOR;6;47.0;4;2;0.6666667;0.9194139;0.44852942
PPUv3.xml;PPUv7.xml;BDD_FMREDUCED;15;71.0;10;5;0.6666667;0.9194139;1.0
PPUv3.xml;PPUv7.xml;INCLING;13;13.0;8;5;0.61538464;0.9194139;1.0
PPUv3.xml;PPUv7.xml;GFE;11;10.0;4;7;0.36363637;0.919708;1.0
PPUv3.xml;PPUv8.xml;SPECIFICITY_FMREDUCED;13;49.0;9;4;0.6923077;0.9130435;1.0
PPUv3.xml;PPUv8.xml;ACTS;12;215.0;7;5;0.5833333;0.9130435;1.0
PPUv3.xml;PPUv8.xml;MUTTESTGENERATOR;4;41.0;4;0;1.0;0.9133574;0.41911766
PPUv3.xml;PPUv8.xml;BDD_FMREDUCED;13;73.0;9;4;0.6923077;0.9130435;1.0
PPUv3.xml;PPUv8.xml;INCLING;12;14.0;7;5;0.5833333;0.9130435;1.0
PPUv3.xml;PPUv8.xml;GFE;11;11.0;4;7;0.36363637;0.9130435;1.0
PPUv4.xml;PPUv2.xml;SPECIFICITY_FMREDUCED;6;10.0;3;3;0.5;0.7181818;1.0
PPUv4.xml;PPUv2.xml;ACTS;6;45.0;3;3;0.5;0.7181818;1.0
PPUv4.xml;PPUv2.xml;MUTTESTGENERATOR;4;9.0;1;3;0.25;0.7181818;0.51363635
PPUv4.xml;PPUv2.xml;BDD_FMREDUCED;6;15.0;3;3;0.5;0.7181818;1.0
PPUv4.xml;PPUv2.xml;INCLING;6;7.0;3;3;0.5;0.7181818;1.0
PPUv4.xml;PPUv2.xml;GFE;6;4.0;3;3;0.5;0.7181818;1.0
PPUv4.xml;PPUv3.xml;SPECIFICITY_FMREDUCED;7;10.0;4;3;0.5714286;0.7;1.0
PPUv4.xml;PPUv3.xml;ACTS;7;45.0;4;3;0.5714286;0.7;1.0
PPUv4.xml;PPUv3.xml;MUTTESTGENERATOR;7;9.0;3;4;0.42857143;0.7;0.5181818
